"link"|"datasetFolder"|"datasetDescription"|"title"|"dsFeatures"|"numberObs"|"area"|"atributeType"|"numberAttr"|"dateDonated"|"missingValues"|"numberWebHits"|"image"
"http://archive.ics.uci.edu/ml/datasets/Auto+MPG"|"http://archive.ics.uci.edu/ml/machine-learning-databases/auto-mpg/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/auto-mpg/auto-mpg.names"|"Auto MPG Data Set"|"Multivariate"|"398"|"N/A"|"Categorical, Real"|"8"|"1993-07-07"|"Yes"|"426201"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large9.jpg"
"http://archive.ics.uci.edu/ml/datasets/Economic+Sanctions"|"http://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/pazzani/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/pazzani/economic-sanctions"|"Economic Sanctions Data Set"|"Domain-Theory"|"N/A"|"Financial"|"N/A"|"N/A"|"N/A"|"N/A"|"52357"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large153.jpg"
"http://archive.ics.uci.edu/ml/datasets/Musk+%28Version+1%29"|"http://archive.ics.uci.edu/ml/machine-learning-databases/musk/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/musk/clean1.info"|"Musk (Version 1) Data Set"|"Multivariate"|"476"|"Physical"|"Integer"|"168"|"1994-09-12"|"No"|"58604"|""
"http://archive.ics.uci.edu/ml/datasets/Adult"|"http://archive.ics.uci.edu/ml/machine-learning-databases/adult/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/adult/adult.names"|"Adult Data Set"|"Multivariate"|"48842"|"Social"|"Categorical, Integer"|"14"|"1996-05-01"|"Yes"|"1455607"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large2.jpg"
"http://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00350/"|"http://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients#"|"default of credit card clients Data Set"|"Multivariate"|"30000"|"Business"|"Integer, Real"|"24"|"2016-01-26"|"N/A"|"335694"|""
"http://archive.ics.uci.edu/ml/datasets/QtyT40I10D100K"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00238/"|"http://archive.ics.uci.edu/ml/datasets/QtyT40I10D100K#"|"QtyT40I10D100K Data Set"|"Sequential"|"3960456"|"N/A"|"Integer"|"4"|"2012-10-21"|"N/A"|"36827"|""
"http://archive.ics.uci.edu/ml/datasets/Arrhythmia"|"http://archive.ics.uci.edu/ml/machine-learning-databases/arrhythmia/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/arrhythmia/arrhythmia.names"|"Arrhythmia Data Set"|"Multivariate"|"452"|"Life"|"Categorical, Integer, Real"|"279"|"1998-01-01"|"Yes"|"258928"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large5.jpg"
"http://archive.ics.uci.edu/ml/datasets/Buzz+in+social+media+"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00248/"|"http://archive.ics.uci.edu/ml/datasets/Buzz+in+social+media+#"|"Buzz in social media  Data Set"|"Time-Series, Multivariate"|"140000"|"Computer"|"Integer, Real"|"77"|"2013-05-27"|"N/A"|"129544"|""
"http://archive.ics.uci.edu/ml/datasets/Eco-hotel"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00398/"|"http://archive.ics.uci.edu/ml/datasets/Eco-hotel#"|"Eco-hotel Data Set"|"Text"|"401"|"Business"|"N/A"|"1"|"2017-07-23"|"N/A"|"28680"|""
"http://archive.ics.uci.edu/ml/datasets/HIV-1+protease+cleavage"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00330/"|"http://archive.ics.uci.edu/ml/datasets/HIV-1+protease+cleavage#"|"HIV-1 protease cleavage Data Set"|"Multivariate"|"6590"|"Life"|"Categorical"|"1"|"2015-04-25"|"N/A"|"47718"|""
